iter	Passed	Remaining
0	125	124892
1	126	62914
2	127	42214
3	127	31870
4	128	25660
5	129	21512
6	130	18573
7	131	16361
8	132	14630
9	133	13250
10	134	12121
11	135	11180
12	136	10383
13	137	9704
14	139	9129
15	140	8613
16	140	8150
17	141	7737
18	142	7372
19	143	7043
20	144	6749
21	145	6476
22	146	6226
23	147	5996
24	148	5790
25	149	5600
26	150	5424
27	151	5255
28	152	5102
29	153	4962
30	154	4829
31	155	4702
32	156	4580
33	157	4467
34	158	4359
35	159	4258
36	159	4162
37	160	4072
38	161	3986
39	162	3904
40	163	3828
41	164	3755
42	165	3684
43	166	3616
44	167	3550
45	168	3491
46	169	3432
47	170	3375
48	171	3321
49	172	3269
50	173	3219
51	173	3170
52	174	3123
53	175	3077
54	176	3033
55	177	2990
56	178	2949
57	179	2907
58	179	2868
59	180	2830
60	181	2795
61	182	2762
62	183	2730
63	184	2696
64	185	2667
65	186	2638
66	187	2609
67	187	2575
68	188	2548
69	189	2521
70	190	2496
71	191	2471
72	192	2448
73	193	2424
74	194	2401
75	195	2378
76	196	2355
77	197	2334
78	198	2315
79	199	2294
80	200	2274
81	201	2254
82	202	2236
83	203	2217
84	203	2195
85	204	2177
86	205	2157
87	206	2140
88	207	2123
89	208	2107
90	209	2091
91	210	2075
92	211	2060
93	212	2045
94	213	2031
95	214	2017
96	215	2003
97	216	1988
98	216	1974
99	217	1961
100	218	1948
101	219	1931
102	220	1919
103	221	1907
104	222	1894
105	223	1882
106	224	1870
107	225	1858
108	225	1847
109	227	1836
110	228	1826
111	228	1815
112	229	1804
113	230	1794
114	231	1784
115	232	1772
116	233	1762
117	234	1753
118	235	1742
119	236	1732
120	237	1724
121	238	1714
122	238	1702
123	239	1694
124	240	1685
125	241	1676
126	242	1668
127	243	1657
128	244	1649
129	245	1641
130	246	1633
131	247	1624
132	248	1617
133	249	1609
134	249	1601
135	250	1594
136	251	1587
137	252	1578
138	253	1571
139	254	1564
140	255	1558
141	256	1551
142	257	1544
143	258	1537
144	259	1531
145	260	1524
146	261	1517
147	262	1511
148	263	1504
149	264	1498
150	265	1492
151	266	1486
152	267	1479
153	268	1473
154	269	1468
155	270	1462
156	271	1456
157	272	1450
158	273	1444
159	274	1438
160	275	1433
161	275	1427
162	276	1421
163	277	1416
164	278	1410
165	279	1405
166	280	1400
167	281	1394
168	282	1389
169	283	1384
170	284	1379
171	285	1374
172	286	1369
173	287	1364
174	288	1359
175	289	1354
176	290	1349
177	291	1344
178	292	1339
179	293	1335
180	293	1328
181	294	1323
182	295	1319
183	296	1314
184	297	1309
185	298	1305
186	299	1300
187	300	1296
188	301	1292
189	302	1288
190	303	1283
191	303	1279
192	304	1274
193	305	1270
194	306	1266
195	307	1262
196	308	1258
197	309	1254
198	310	1250
199	311	1246
200	312	1242
201	313	1238
202	314	1234
203	315	1229
204	316	1226
205	317	1222
206	317	1218
207	318	1214
208	319	1210
209	320	1206
210	321	1203
211	322	1199
212	323	1195
213	324	1192
214	325	1188
215	326	1185
216	327	1181
217	328	1177
218	329	1174
219	330	1170
220	331	1167
221	332	1163
222	332	1160
223	333	1157
224	334	1153
225	335	1150
226	336	1147
227	337	1143
228	338	1141
229	339	1137
230	340	1134
231	341	1131
232	342	1128
233	343	1125
234	344	1122
235	345	1119
236	346	1115
237	347	1112
238	348	1109
239	349	1106
240	350	1103
241	351	1100
242	352	1097
243	353	1094
244	354	1091
245	355	1088
246	356	1085
247	356	1082
248	357	1078
249	358	1075
250	359	1073
251	360	1069
252	361	1066
253	362	1064
254	363	1061
255	364	1058
256	365	1055
257	366	1052
258	367	1050
259	367	1047
260	368	1044
261	369	1041
262	370	1038
263	371	1036
264	372	1033
265	373	1030
266	374	1027
267	375	1024
268	376	1022
269	377	1019
270	378	1016
271	378	1014
272	379	1011
273	380	1008
274	381	1006
275	382	1003
276	383	1001
277	384	998
278	385	996
279	386	993
280	387	991
281	388	988
282	389	986
283	390	983
284	391	981
285	392	978
286	392	976
287	393	973
288	394	971
289	396	969
290	396	967
291	397	964
292	398	962
293	399	960
294	400	957
295	401	955
296	402	953
297	403	951
298	404	948
299	405	946
300	406	944
301	407	941
302	408	939
303	409	937
304	410	935
305	411	933
306	412	930
307	413	928
308	414	926
309	414	923
310	415	921
311	416	919
312	417	917
313	418	915
314	419	912
315	420	910
316	421	908
317	422	906
318	423	904
319	424	902
320	425	899
321	426	897
322	427	895
323	428	893
324	429	891
325	430	889
326	431	887
327	432	885
328	433	883
329	434	881
330	435	879
331	435	877
332	436	875
333	437	872
334	438	870
335	439	868
336	440	866
337	441	864
338	442	862
339	443	860
340	444	858
341	445	856
342	446	854
343	447	852
344	448	850
345	449	849
346	450	847
347	451	845
348	451	842
349	452	840
350	453	838
351	454	836
352	455	834
353	456	833
354	457	831
355	458	829
356	459	827
357	460	825
358	461	823
359	462	822
360	463	820
361	464	818
362	465	816
363	466	814
364	466	812
365	467	810
366	468	808
367	469	806
368	470	804
369	471	803
370	472	801
371	473	799
372	474	797
373	475	795
374	476	794
375	477	792
376	478	790
377	479	788
378	480	786
379	481	785
380	482	783
381	483	781
382	484	779
383	485	778
384	486	776
385	487	775
386	488	773
387	489	771
388	489	769
389	490	767
390	491	766
391	492	764
392	493	762
393	494	760
394	495	759
395	496	757
396	497	755
397	498	754
398	499	752
399	500	750
400	501	749
401	502	747
402	503	745
403	504	743
404	505	742
405	506	740
406	507	738
407	508	737
408	509	735
409	509	733
410	510	732
411	511	730
412	512	728
413	513	727
414	514	725
415	515	723
416	516	722
417	517	720
418	518	718
419	519	717
420	520	715
421	521	714
422	522	712
423	523	710
424	524	709
425	525	707
426	526	706
427	527	704
428	528	703
429	529	701
430	530	699
431	531	698
432	532	696
433	532	694
434	533	693
435	534	691
436	535	690
437	536	688
438	537	686
439	538	685
440	539	683
441	540	682
442	541	680
443	542	678
444	543	677
445	544	675
446	545	674
447	546	672
448	546	671
449	547	669
450	548	667
451	549	666
452	550	664
453	551	663
454	552	661
455	553	659
456	554	658
457	555	656
458	556	655
459	556	653
460	558	652
461	558	650
462	559	649
463	560	647
464	561	646
465	562	644
466	563	643
467	564	642
468	565	640
469	566	638
470	567	637
471	568	635
472	569	634
473	570	632
474	571	631
475	572	629
476	573	628
477	573	626
478	574	625
479	575	623
480	576	622
481	577	620
482	578	619
483	579	617
484	580	616
485	581	615
486	582	613
487	583	612
488	584	610
489	585	609
490	586	607
491	587	606
492	588	604
493	589	603
494	590	601
495	591	600
496	591	599
497	592	597
498	593	596
499	594	594
500	595	593
501	596	591
502	597	590
503	598	588
504	599	587
505	600	586
506	601	584
507	602	583
508	603	581
509	604	580
510	605	579
511	606	577
512	607	576
513	608	574
514	609	573
515	609	572
516	610	570
517	611	569
518	612	567
519	613	566
520	614	565
521	615	563
522	616	562
523	617	560
524	618	559
525	619	558
526	620	556
